Material,,Nominal,,,Weight,,Tolerance,,,,Imperial,,,,
Name,Trimmed,Th,Length,Width,Kg/m2,Kg/sheet,Th,Length,Width,Squareness,Th,Length,Width,lb/ft2,lb/sheet
[tectiva],No,8,3070,1240,14.9,=F3/1000000*D3*E3,0.5,5,5,2,=C3/25.4,=D3/25.4,=E3/25.4,=F3*2.20462/1000000*25.4*25.4*12*12,=G3*2.20462
[tectiva],Yes,8,=D3-20,=E3-20,14.9,=F4/1000000*D4*E4,0.5,3,3,1,=C4/25.4,=D4/25.4,=E4/25.4,=F4*2.20462/1000000*25.4*25.4*12*12,=G4*2.20462
[tectiva],No,8,2520,1240,14.9,=F5/1000000*D5*E5,0.5,5,5,2,=C5/25.4,=D5/25.4,=E5/25.4,=F5*2.20462/1000000*25.4*25.4*12*12,=G5*2.20462
[tectiva],Yes,8,=D5-20,=E5-20,14.9,=F6/1000000*D6*E6,0.5,3,3,1,=C6/25.4,=D6/25.4,=E6/25.4,=F6*2.20462/1000000*25.4*25.4*12*12,=G6*2.20462
[natura],No,8,3130,1280,15.4,=F7/1000000*D7*E7,0.6,12,6,2.5,=C7/25.4,=D7/25.4,=E7/25.4,=F7*2.20462/1000000*25.4*25.4*12*12,=G7*2.20462
[natura],Yes,8,=D7-30,=E7-30,15.4,=F8/1000000*D8*E8,0.6,1,1,1,=C8/25.4,=D8/25.4,=E8/25.4,=F8*2.20462/1000000*25.4*25.4*12*12,=G8*2.20462
[natura],No,8,2530,1280,15.4,=F9/1000000*D9*E9,0.6,12,6,2.5,=C9/25.4,=D9/25.4,=E9/25.4,=F9*2.20462/1000000*25.4*25.4*12*12,=G9*2.20462
[natura],Yes,8,=D9-30,=E9-30,15.4,=F10/1000000*D10*E10,0.6,1,1,1,=C10/25.4,=D10/25.4,=E10/25.4,=F10*2.20462/1000000*25.4*25.4*12*12,=G10*2.20462
[natura],No,12,3130,1280,22.8,=F11/1000000*D11*E11,0.9,16,6,2.5,=C11/25.4,=D11/25.4,=E11/25.4,=F11*2.20462/1000000*25.4*25.4*12*12,=G11*2.20462
[natura],Yes,12,=D11-30,=E11-30,22.8,=F12/1000000*D12*E12,0.9,1,1,1,=C12/25.4,=D12/25.4,=E12/25.4,=F12*2.20462/1000000*25.4*25.4*12*12,=G12*2.20462
[natura],No,12,2530,1280,22.8,=F13/1000000*D13*E13,0.9,16,6,2.5,=C13/25.4,=D13/25.4,=E13/25.4,=F13*2.20462/1000000*25.4*25.4*12*12,=G13*2.20462
[natura],Yes,12,=D13-30,=E13-30,22.8,=F14/1000000*D14*E14,0.9,1,1,1,=C14/25.4,=D14/25.4,=E14/25.4,=F14*2.20462/1000000*25.4*25.4*12*12,=G14*2.20462
[natura pro],No,8,3130,1280,14.9,=F15/1000000*D15*E15,0.8,12,6,2.5,=C15/25.4,=D15/25.4,=E15/25.4,=F15*2.20462/1000000*25.4*25.4*12*12,=G15*2.20462
[natura pro],Yes,8,=D15-30,=E15-30,14.9,=F16/1000000*D16*E16,0.8,1,1,1,=C16/25.4,=D16/25.4,=E16/25.4,=F16*2.20462/1000000*25.4*25.4*12*12,=G16*2.20462
[natura pro],No,8,2530,1280,14.9,=F17/1000000*D17*E17,0.8,12,6,2.5,=C17/25.4,=D17/25.4,=E17/25.4,=F17*2.20462/1000000*25.4*25.4*12*12,=G17*2.20462
[natura pro],Yes,8,=D17-30,=E17-30,14.9,=F18/1000000*D18*E18,0.8,1,1,1,=C18/25.4,=D18/25.4,=E18/25.4,=F18*2.20462/1000000*25.4*25.4*12*12,=G18*2.20462
[natura pro],No,12,3130,1280,14.9,=F19/1000000*D19*E19,1,16,6,2.5,=C19/25.4,=D19/25.4,=E19/25.4,=F19*2.20462/1000000*25.4*25.4*12*12,=G19*2.20462
[natura pro],Yes,12,=D19-30,=E19-30,14.9,=F20/1000000*D20*E20,1,1,1,1,=C20/25.4,=D20/25.4,=E20/25.4,=F20*2.20462/1000000*25.4*25.4*12*12,=G20*2.20462
[natura pro],No,12,2530,1280,14.9,=F21/1000000*D21*E21,1,16,6,2.5,=C21/25.4,=D21/25.4,=E21/25.4,=F21*2.20462/1000000*25.4*25.4*12*12,=G21*2.20462
[natura pro],Yes,12,=D21-30,=E21-30,14.9,=F22/1000000*D22*E22,1,1,1,1,=C22/25.4,=D22/25.4,=E22/25.4,=F22*2.20462/1000000*25.4*25.4*12*12,=G22*2.20462
[pictura],No,8,3130,1280,14.9,=F23/1000000*D23*E23,0.8,12,6,2.5,=C23/25.4,=D23/25.4,=E23/25.4,=F23*2.20462/1000000*25.4*25.4*12*12,=G23*2.20462
[pictura],Yes,8,=D23-30,=E23-30,14.9,=F24/1000000*D24*E24,0.8,1,1,1,=C24/25.4,=D24/25.4,=E24/25.4,=F24*2.20462/1000000*25.4*25.4*12*12,=G24*2.20462
[pictura],No,8,2530,1280,14.9,=F25/1000000*D25*E25,0.8,12,6,2.5,=C25/25.4,=D25/25.4,=E25/25.4,=F25*2.20462/1000000*25.4*25.4*12*12,=G25*2.20462
